ticker,daily_volume,market_cap,avg_daily_returns,avg_anual_returns,avg_daily_volatility,avg_anual_volatility,sharpe_ratio,trynor_ratio,information_ratio,beta,dia_invertir
FTV,1912773.3333333333,23406497792,0.0002568064239017921,0.06684629722066138,0.018775620974631882,0.29805374285810476,0.10584096988065575,0.028293060168048903,0.22427598653738454,1.0301571144140862,0
GD,1197183.3333333333,61948002304,0.00031527903430420137,0.08267820918437097,0.016327142139279285,0.2591853463256166,0.18279663513403013,0.05465004184576324,0.318992606474371,0.8230224106929557,0
GE,8319646.666666667,101548670976,0.0002926639734634056,0.07652744401466505,0.027179353156741224,0.43145885549001367,0.09555359332662783,0.03413864310773151,0.17736904235689355,1.1373458485780195,0
GEN,5095436.666666667,10673455104,0.00035871138490225883,0.09458911999029107,0.02315364499873971,0.36755271966803815,0.16130779835839362,0.0866412767783917,0.2573484426280968,0.6566052822120829,0
GILD,5862410.0,101116952576,0.00035066300449894026,0.09237211859910399,0.01684118303665326,0.26734549259462465,0.21347701824037227,0.09665285623271695,0.34551590042764485,0.5656544537852727,0
GIS,3496133.3333333335,49789997056,0.0005286439969171076,0.1424591487211866,0.014998059690391119,0.23808681653566374,0.45008434435988565,0.2936696602229333,0.5983495885831511,0.3567244523716234,0
GL,527253.3333333334,10499575808,0.00035802927217429194,0.09440105199350346,0.019192699287706186,0.30467465581990244,0.19398086077904342,0.053642571047330376,0.30984215519818387,1.0570159275824886,0
GLW,3927353.3333333335,28424632320,0.0003544873581401176,0.09342501420694926,0.021357900594609555,0.3390461609986526,0.17143687465961385,0.04602169740354919,0.27555249094037243,1.2108422190149761,0
GM,14831330.0,47724580864,0.0002766275203771997,0.07218700783524401,0.02636996115863727,0.41861015584912137,0.08811780440544091,0.027254410470556625,0.17244447328043852,1.2653734657919267,0
GNRC,1329440.0,6794009600,0.0010859264440275507,0.3145639157255873,0.030137370324380314,0.47841592228660984,0.5837262154462443,0.20083700978533064,0.6575113851188633,1.3785502782655437,4
GOOG,32860216.666666668,1294083424256,0.0007023018782224037,0.1935331664869635,0.020020401848200718,0.317814026627502,0.49787974484972214,0.1330655906835839,0.6089509910580395,1.1711004000840346,0
GOOGL,38690806.666666664,1297417109504,0.0006923302543164969,0.19053984733873697,0.02003145003556595,0.3179894111647407,0.48819187648456597,0.13004584567857966,0.5992018622281231,1.1752766614052,0
GPC,1472013.3333333333,22718121984,0.0006698404818002695,0.18381620503355323,0.018812706045080646,0.2986424501006692,0.49730440191436276,0.15431286221418716,0.6155059502478323,0.9468828647008249,0
GPN,2056490.0,26267611136,0.00028343052107911864,0.07402617928066291,0.023205851116370697,0.3683814660930448,0.1051252108076511,0.02797711521415257,0.20094979279431385,1.2984247661920076,4
GRMN,952010.0,18512070656,0.000626375143348123,0.17092861399781856,0.017584770731862355,0.2791495813115704,0.485863576655119,0.14327517270930543,0.6123190770866249,0.9298792769081452,4
